"","ID","gemeente","weight1","issue2","party"
"1",11001,"almere",0.879361846186308,"Criminaliteit & Veiligheid","weetikniet"
"2",11001,"almere",0.879361846186308,"Economie & Werkgelegenheid","weetikniet"
"3",11001,"almere",0.879361846186308,"Natuur & Milieu","weetikniet"
"4",11002,"almere",1.09514958621869,"Zorg & Welzijn","weetikniet"
"5",11002,"almere",1.09514958621869,"Economie & Werkgelegenheid","weetikniet"
"6",11002,"almere",1.09514958621869,"Bouw & Wonen","weetikniet"
"7",11003,"almere",0.940301805881723,"Verkeer & Infrastructuur","vvd"
"8",11003,"almere",0.940301805881723,"Verkeer & Infrastructuur","cu"
"9",11003,"almere",0.940301805881723,"Verkeer & Infrastructuur","pvv"
"10",11003,"almere",0.940301805881723,"Verkeer & Infrastructuur","almereanders"
"11",11003,"almere",0.940301805881723,"Verkeer & Infrastructuur","leefbaaralmere"
"12",11003,"almere",0.940301805881723,"Criminaliteit & Veiligheid","cda"
"13",11003,"almere",0.940301805881723,"Criminaliteit & Veiligheid","vvd"
"14",11003,"almere",0.940301805881723,"Criminaliteit & Veiligheid","cu"
"15",11003,"almere",0.940301805881723,"Criminaliteit & Veiligheid","pvv"
"16",11003,"almere",0.940301805881723,"Criminaliteit & Veiligheid","leefbaaralmere"
"17",11003,"almere",0.940301805881723,"Criminaliteit & Veiligheid","wow"
"18",11003,"almere",0.940301805881723,"Zorg & Welzijn","cda"
"19",11003,"almere",0.940301805881723,"Zorg & Welzijn","gl"
"20",11003,"almere",0.940301805881723,"Zorg & Welzijn","pvda"
"21",11003,"almere",0.940301805881723,"Zorg & Welzijn","sp"
"22",11003,"almere",0.940301805881723,"Zorg & Welzijn","almereopa"
"23",11004,"almere",1.09514958621869,"Bouw & Wonen","weetikniet"
"24",11004,"almere",1.09514958621869,"Zorg & Welzijn","weetikniet"
"25",11004,"almere",1.09514958621869,"Economie & Werkgelegenheid","weetikniet"
"26",11005,"almere",1.09514958621869,"Bouw & Wonen","vvd"
"27",11005,"almere",1.09514958621869,"Zorg & Welzijn","vvd"
"28",11005,"almere",1.09514958621869,"Criminaliteit & Veiligheid","pvv"
"29",11006,"almere",1.09514958621869,"Criminaliteit & Veiligheid","vvd"
"30",11006,"almere",1.09514958621869,"Bestuur & Democratie","vvd"
"31",11006,"almere",1.09514958621869,"Bestuur & Democratie","leefbaaralmere"
"32",11006,"almere",1.09514958621869,"Zorg & Welzijn","sp"
"33",11007,"almere",0.940301805881723,"Natuur & Milieu","weetikniet"
"34",11007,"almere",0.940301805881723,"Verkeer & Infrastructuur","weetikniet"
"35",11007,"almere",0.940301805881723,"Criminaliteit & Veiligheid","weetikniet"
"36",11008,"almere",0.879361846186308,"Verkeer & Infrastructuur","weetikniet"
"37",11008,"almere",0.879361846186308,"Zorg & Welzijn","pvda"
"38",11008,"almere",0.879361846186308,"Zorg & Welzijn","cu"
"39",11008,"almere",0.879361846186308,"Zorg & Welzijn","almereopa"
"40",11008,"almere",0.879361846186308,"Onderwijs & Wetenschappen","pvda"
"41",11008,"almere",0.879361846186308,"Onderwijs & Wetenschappen","d66"
"42",11009,"almere",1.04141127627369,"Verkeer & Infrastructuur","weetikniet"
"43",11009,"almere",1.04141127627369,"Zorg & Welzijn","pvv"
"44",11009,"almere",1.04141127627369,"Zorg & Welzijn","almereopa"
"45",11009,"almere",1.04141127627369,"Zorg & Welzijn","leefbaaralmere"
"46",11009,"almere",1.04141127627369,"Bouw & Wonen","pvv"
"47",11009,"almere",1.04141127627369,"Bouw & Wonen","almereopa"
"48",11010,"almere",1.17104368139015,"Criminaliteit & Veiligheid","weetikniet"
"49",11010,"almere",1.17104368139015,"Economie & Werkgelegenheid","weetikniet"
"50",11010,"almere",1.17104368139015,"Bouw & Wonen","weetikniet"
"51",11011,"almere",1.04141127627369,"Criminaliteit & Veiligheid","pvda"
"52",11011,"almere",1.04141127627369,"Bestuur & Democratie","pvda"
"53",11011,"almere",1.04141127627369,"Bestuur & Democratie","leefbaaralmere"
"54",11011,"almere",1.04141127627369,"Bouw & Wonen","leefbaaralmere"
"55",11012,"almere",1.17104368139015,"Criminaliteit & Veiligheid","weetikniet"
"56",11012,"almere",1.17104368139015,"Bouw & Wonen","weetikniet"
"57",11012,"almere",1.17104368139015,"Zorg & Welzijn","weetikniet"
